操作日(年),操作日(月),操作日(日),取引順番号,摘要,お支払金額,お預り金額,メモ
2025,9,15,301,Vデビット　アトレゴタンダ２　1A258002,3040,,
2025,9,15,401,Vデビット　エキュートシナガワ　1A258003,1700,,
2025,9,15,501,Vデビット　ｃａｆｆｅ　ＬＡＴ．２５°品川店１　1A258004,1390,,
2025,9,16,401,Vデビット　Canva* 04641-27506310　1A259005,4500,,
2025,9,17,201,Vデビット　ｻﾛﾝﾎｹﾝﾈﾂﾄ　1A260002,20060,,
2025,9,18,101,Vデビット　スターバックスコーヒージャパン　1A261001,741,,
2025,9,22,101,ＭＨＦ）デンノウ（カ　　　　　,8525,,
2025,9,23,101,Vデビット　スターバックスコーヒージャパン　1A266001,741,,
2025,9,23,201,Vデビット　スターバックスコーヒージャパン　1A266002,1101,,
2025,9,23,301,Vデビット　スターバックスコーヒージャパン　1A266003,360,,
2025,9,30,201,振込 サガノ　ノボル,200000,,
2025,9,30,202,振込手数料,145,,
2025,9,30,301,振込 カ）ユアネツト,17193,,
2025,9,30,302,振込手数料,145,,
2025,10,1,201,Vデビット　中部電力　２５年０９月分　1B274472,5718,,
2025,10,1,301,Vデビット　東京電力　電気料金等　1A274001,3417,,
2025,10,4,101,Vデビット　９月分　ａｕ携帯電話料金　1A277001,253,,
2025,10,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A277002,1962,,
2025,10,4,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A277003,3146,,
2025,10,4,401,Vデビット　ＢＩＧＬＯＢＥ利用料　1A277004,5482,,
2025,10,4,501,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A277005,2200,,
2025,10,5,101,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A278001,2640,,
2025,10,6,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,10,6,201,Vデビット　ソフトバンク（Ｂ）　1A279001,7502,,
2025,10,12,101,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A285001,5998,,
2025,10,14,101,ＤＦ．キヨウイクカイハツ　　　,65824,,
2025,10,16,101,Vデビット　Canva* 04671-27959383　1A289001,4500,,
2025,10,17,101,Vデビット　コンフォートマーケット西馬込店　1A290001,5282,,
2025,10,17,201,セブンATM出金,50000,,
2025,10,19,101,Vデビット　ＡＭＺ＊めちゃコミ　1A292001,1100,,
2025,10,20,101,ＭＨＦ）デンノウ（カ　　　　　,15854,,
2025,10,20,201,セブンATM出金,50000,,
2025,10,30,201,Vデビット　中部電力　２５年１０月分　1B303830,5571,,
2025,10,30,301,Vデビット　東京電力　電気料金等　1A303002,2164,,
2025,10,31,201,振込 サガノ　ノボル,200000,,
2025,10,31,202,振込手数料,145,,
2025,11,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,11,4,201,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A308001,990,,
2025,11,6,101,Vデビット　ソフトバンク（Ｂ）　1A310001,7484,,
2025,11,7,101,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A311001,2618,,
2025,11,7,201,Vデビット　１０月分　ａｕ携帯電話料金　1A311002,341,,
2025,11,7,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A311003,1962,,
2025,11,7,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A311004,1356,,
2025,11,7,501,Vデビット　ＢＩＧＬＯＢＥ利用料　1A311005,5482,,
2025,11,7,601,振込 カ）ユアネツト,17413,,
2025,11,7,602,振込手数料,145,,
2025,11,11,201,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A315002,15794,,
2025,11,12,101,ＤＦ．キヨウイクカイハツ　　　,65824,,
2025,11,14,1301,Vデビット　コンフォートマーケット西馬込店　1A318001,2158,,
2025,11,16,101,Vデビット　Canva* 04702-16458953　1A320001,4500,,
2025,11,20,101,ＭＨＦ）デンノウ（カ　　　　　,8241,,
2025,11,20,201,Vデビット　Ａｍａｚｏｎプライム会費　1A324001,600,,
2025,11,20,301,Vデビット　コンフォートマーケット西馬込店　1A324002,287,,
2025,11,21,101,Vデビット　コンフォートマーケット西馬込店　1A325001,5066,,
2025,11,21,201,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A325002,2418,,
2025,11,25,101,Vデビット　かんざし　1A329001,11000,,
2025,11,28,201,振込 サガノ　ノボル,200000,,
2025,11,28,202,振込手数料,145,,
2025,11,28,301,振込 カ）ユアネツト,17193,,
2025,11,28,302,振込手数料,145,,
2025,11,30,101,Vデビット　中部電力　２５年１１月分　1B334118,5526,,
2025,12,1,201,Vデビット　東京電力　電気料金等　1A335001,2345,,
2025,12,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,12,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A338001,2512,,
2025,12,4,301,Vデビット　ＢＩＧＬＯＢＥ利用料　1A338002,5482,,
2025,12,4,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A338003,3066,,
2025,12,4,501,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A338004,2011,,
2025,12,6,101,Vデビット　ソフトバンク（Ｂ）　1A340001,7519,,
2025,12,12,101,ＤＦ．キヨウイクカイハツ　　　,65098,,
2025,12,16,201,Vデビット　Canva* 04732-27405515　1A350001,4500,,
2025,12,16,301,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A350002,13356,,
2025,12,18,101,振込 ザイ）ニホンエイゴケンテイキヨウカイ,56800,,
2025,12,18,102,振込手数料,145,,
2025,12,19,101,振込 カ）　シンワコウサン,220000,,
2025,12,19,102,振込手数料,145,,
2025,12,22,101,ＭＨＦ）デンノウ（カ　　　　　,17893,,
2025,12,23,101,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A357001,1846,,
2025,12,25,101,Vデビット　かんざし　1A359001,5500,,
2025,12,27,101,Vデビット　コンフォートマーケット西馬込店　1A361001,3061,,
2025,12,27,201,Vデビット　中部電力　２５年１２月分　1B361011,6380,,
2025,12,31,101,振込 サガノ　ノボル,200000,,
2025,12,31,102,振込手数料,145,,
